Buchungsdatum,Materialbeleg,Material,Kurztext,Werks,Lagerort,Bewegungsart,Menge,Meins,Kostl,LIFNR,Warengruppe
15.01.2025,4900001001,12345,Diesel HSD - BS VI,1000,RM01,201,500.00,L,CC1001,VN001,DIESEL
15.01.2025,4900001002,12346,Petrol MS - Premium,1000,RM01,201,"1.500,50",L,CC1001,VN001,PETROL
20.01.2025,4900001003,12347,LPG Industrial Grade,2000,RM02,201,200.00-,L,CC2001,VN002,LPG
22.01.2025,4900001004,12348,Furnace Oil - Heavy,1000,RM01,201,750.00,KG,,VN003,FURNACE_OIL
Buchungsdatum,Materialbeleg,Material,Kurztext,Werks,Lagerort,Bewegungsart,Menge,Meins,Kostl,LIFNR,Warengruppe
25.01.2025,4900001005,12349,Packaging Film LDPE,3000,WH01,101,"2.300,00",KG,CC3001,VN004,PACKAGING
28.01.2025,4900001006,12345,Diesel HSD - BS VI,1000,RM01,102,100.00-,L,CC1001,VN001,DIESEL
01.02.2025,4900001007,12350,Carbon Steel Plate,2000,WH02,101,5000.00,KG,CC2002,VN005,STEEL
05.02.2025,4900001008,12351,Industrial Chemicals,1000,CH01,101,1200.00,KG,CC1002,VN006,CHEMICALS
10.02.2025,4900001009,12352,Waste Sludge - ETP,1000,WS01,551,800.00,KG,CC1001,,WASTE_GENERAL
12.02.2025,4900001010,456,Orphaned Material X,2000,RM02,201,300.00,L,CC2001,VN007,DIESEL
15.02.2025,4900001011,12354,Natural Gas Pipeline,9999,GS01,201,1500.00,KG,CC9999,VN008,NATURAL_GAS
18.02.2025,4900001012,12355,Raw Material Transfer,1000,WH01,301,"3.500,75",KG,CC1001,,STEEL
20.02.2025,4900001013,12356,Storage Relocation,2000,WH02,311,450.00,KG,CC2001,,PACKAGING
25.02.2025,4900001014,12345,Diesel HSD - BS VI,1000,RM01,201,600.00,L,,VN001,DIESEL
