Account_ID,Meter_SN,Channel,Start_Time,End_Time,Usage,Unit,Quality
ACC-001,0012345678,Active Import,2025-01-15 00:00,2025-01-15 00:15,12.5,kWh,A
ACC-001,0012345678,Active Import,2025-01-15 00:15,2025-01-15 00:30,11.8,kWh,A
ACC-001,0012345678,Active Import,2025-01-15 00:30,2025-01-15 00:45,13.2,kWh,A
ACC-001,12345678,Active Import,2025-01-15 01:00,2025-01-15 01:15,N/A,kWh,A
ACC-001,0012345678,Active Import,2025-01-15 01:15,2025-01-15 01:30,14.1,kWh,E
ACC-001,0012345678,Active Import,2025-01-15 01:15,2025-01-15 01:30,,kWh,A
ACC-001,0012345678,Active Import,2025-01-15 01:30,2025-01-15 01:45,0.015,MWh,A
ACC-001,0012345678,Active Export,2025-01-15 02:00,2025-01-15 02:15,-8.5,kWh,A
ACC-001,0012345678,Reactive,2025-01-15 02:15,2025-01-15 02:30,5.2,kVARh,A
ACC-002,0098765432,Active Import,2025-01-15 00:00,2025-01-15 00:15,25.0,kWh,A
ACC-002,0098765432,Active Import,2025-01-15 00:15,2025-01-15 00:30,23.5,kWh,A
ACC-002,0098765432,Active Import,2025-01-15 00:30,2025-01-15 00:45,24.8,kWh,A
ACC-002,0098765432,Active Import,2025-01-15 00:45,2025-01-15 01:00,22.1,kWh,A
ACC-002,0098765432,Active Import,2025-01-15 01:00,2025-01-15 01:15,26.3,kWh,A
,,,,,,kWh,TOTAL: 180.5
